C,n,P,t,a,N,LN
-9.465531062,2.67995992,11204.40882,2.451102204,2.451903808,130666.1969,5.116163251
-9.393386774,2.631863727,14931.86373,2.229859719,2.179358717,46886.95146,4.671051996
-9.321242485,2.590981964,13092.18437,2.257114228,2.429859719,62108.79418,4.793153098
-9.958517034,3.209018036,13284.56914,2.553707415,2.253507014,84123.16954,4.924915627
-9.617034068,2.862725451,13020.04008,2.229859719,1.51002004,66875.78002,4.825268861
-9.944088176,3.194589178,15124.2485,2.245891784,1.688376754,39879.28609,4.600747375
-9.689178357,2.913226453,15773.54709,2.616232465,2.317635271,58704.53293,4.768671637
-9.809418838,3.014228457,14619.23848,2.669138277,1.76252505,86153.16197,4.935271221
-9.713226453,2.99498998,13753.50701,2.871142285,1.736472946,108194.3428,5.034204553
-9.643486974,2.925250501,13933.86774,2.600200401,1.730460922,77658.88983,4.890191178
-9.484769539,2.773747495,16927.85571,2.128857715,1.866733467,25583.64539,4.407962427
-9.898396794,3.139278557,11180.36072,2.696392786,1.696392786,189481.029,5.277565734
-9.525651303,2.752104208,13573.14629,2.486372745,1.690380762,84884.86639,4.928830269
-9.513627255,2.788176353,15316.63327,2.875951904,2.319639279,75978.8484,4.880692707
-9.977755511,3.218637275,12719.43888,2.172144289,1.688376754,63535.77707,4.803018346
-9.879158317,3.095991984,16050.1002,2.766933868,1.916833667,68604.41078,4.836352039
-9.66993988,2.937274549,13909.81964,2.414228457,2.361723447,59988.98076,4.778071483
-9.701202405,2.942084168,11733.46693,2.492785571,1.94488978,122526.7737,5.088230998
-9.362124248,2.643887776,14342.68537,2.41743487,2.193386774,58092.64258,4.764121133
-9.85751503,3.12244489,15737.47495,2.393386774,2.097194389,40340.27636,4.605738869
-9.758917836,3.031062124,12887.77555,2.718837675,1.558116232,115923.1314,5.064170104
-9.879158317,3.12244489,14186.37275,2.766933868,1.794589178,95823.39439,4.981471551
-9.528056112,2.80260521,15905.81162,2.353306613,1.890781563,41059.35027,4.613412073
-9.883967936,3.093587174,14763.52705,2.116032064,1.882765531,39563.02256,4.597289464
-9.807014028,3.023847695,14498.998,2.540881764,2.251503006,69503.04089,4.842003806
-9.489579158,2.732865731,15869.73948,2.114428858,2.121242485,33070.57792,4.519441784
-9.734869739,2.973346693,15496.99399,2.50240481,1.768537074,55486.43558,4.744186827
-9.636272545,2.918036072,13585.17034,2.492785571,1.830661323,73387.65542,4.865623013
-9.434268537,2.716032064,14342.68537,2.2250501,2.017034068,46750.53713,4.669786605
-9.758917836,2.999799599,15316.63327,2.621042084,2.187374749,62070.9217,4.792888194
-9.35250501,2.581362725,14414.82966,2.148096192,1.948897796,49783.82234,4.697088238
-9.98496994,3.211422846,12118.23647,2.725250501,2.495991984,141426.4783,5.150530727
-9.484769539,2.783366733,13873.74749,2.284368737,2.435871743,49085.29525,4.690951408
-9.455911824,2.752104208,16735.47094,2.534468938,2.235470942,40641.78252,4.608972748
-9.751703407,3.043086172,16014.02806,2.816633267,2.433867735,57367.27777,4.758664242
-10.05711423,3.293186373,12490.98196,2.47995992,2.175350701,97601.11601,4.989454784
-9.698797595,2.925250501,16434.86974,2.808617234,1.590180361,68767.48709,4.837383155
-9.28757515,2.535671343,13897.79559,2.369338677,1.80260521,68443.32657,4.83533111
-9.455911824,2.749699399,16843.68737,2.614629259,2.473947896,42336.5719,4.626715689
-9.580961924,2.838677355,14078.15631,2.425450902,1.534068136,66311.90291,4.821591491
-9.758917836,2.961322645,15208.41683,2.798997996,2.305611222,83218.2568,4.920218614
-9.470340681,2.713627255,14126.25251,2.863126253,2.447895792,99539.57935,4.997995801
-9.359719439,2.653507014,16086.17234,2.728456914,1.650300601,59818.18944,4.776833264
-9.198597194,2.463527054,13428.85772,2.237875752,2.00501002,62622.59961,4.796731092
-9.419839679,2.696793587,13224.4489,2.763727455,2.339679359,101620.1427,5.0069798
-9.299599198,2.542885772,16254.50902,2.196192385,2.04509018,37713.23167,4.576493749
-9.407815631,2.660721443,15953.90782,2.411022044,1.588176353,48327.653,4.684195704
-9.643486974,2.86753507,12851.70341,2.861523046,1.996993988,144528.1412,5.159952417
-9.811823647,3.05511022,11757.51503,2.234669339,2.05511022,85974.77486,4.934371047
-9.845490982,3.05751503,14426.85371,2.885571142,1.74248497,111830.1929,5.048559074
-9.47995992,2.730460922,11492.98597,2.300400802,2.487975952,94016.96784,4.973206241
-9.725250501,3.004609218,16434.86974,2.613026052,1.644288577,48368.50784,4.68456269
-9.504008016,2.766533066,15905.81162,2.580961924,2.241482966,52866.55478,4.723181009
-9.323647295,2.593386774,15280.56112,2.403006012,2.385771543,49193.47846,4.691907533
-9.92244489,3.172945892,15749.499,2.263527054,2.01503006,34813.41283,4.5417466
-9.626653307,2.893987976,16386.77355,2.330861723,1.566132265,36979.97054,4.567966561
-9.482364729,2.74488978,13741.48297,2.136873747,1.578156313,50022.1469,4.699162327
-9.621843687,2.886773547,16939.87976,2.245891784,1.768537074,30079.90402,4.478276446
